location_name,FIPS,cause_name,sex,year_id,mx,state,UID,alcohol_binge,alcohol_prop_binge,state_y,labor_force,employed,unemployed,unemployment_rate,KMeans_Small,KMeans_Big
Adams County,17001,Self-harm,Both,2002,11.3669483107854,Illinois,17001-2002,21.5,38.7,IL,35806,34203,1603,4.5,0,7
Adams County,17001,Self-harm,Both,2003,11.327342118238,Illinois,17001-2003,21.8,38.6,IL,35400,33517,1883,5.3,0,7
Adams County,17001,Self-harm,Both,2004,11.1770707341926,Illinois,17001-2004,21.1,37.8,IL,35765,34174,1591,4.4,0,7
Adams County,17001,Self-harm,Both,2005,11.8385647403767,Illinois,17001-2005,20.7,36.4,IL,37948,36546,1402,3.7,0,7
Adams County,17001,Self-harm,Both,2006,11.576910833225,Illinois,17001-2006,21.4,37.1,IL,39309,37973,1336,3.4,0,7
Adams County,17001,Self-harm,Both,2007,11.8869996295421,Illinois,17001-2007,21.8,37.7,IL,39455,37904,1551,3.9,0,7
Adams County,17001,Self-harm,Both,2008,12.7133493637098,Illinois,17001-2008,21.6,37.7,IL,38682,36794,1888,4.9,0,7
Adams County,17001,Self-harm,Both,2009,12.177581240509,Illinois,17001-2009,21.2,37.4,IL,38148,35339,2809,7.4,0,7
Adams County,17001,Self-harm,Both,2010,11.8709494770848,Illinois,17001-2010,21.7,37.7,IL,34827,32120,2707,7.8,0,7
Adams County,17001,Self-harm,Both,2011,12.4313561805483,Illinois,17001-2011,23.0,39.6,IL,34376,32000,2376,6.9,0,7
Adams County,17001,Self-harm,Both,2012,11.7632869528957,Illinois,17001-2012,22.7,39.9,IL,33731,31518,2213,6.6,0,7
Alexander County,17003,Self-harm,Both,2002,14.9786770145211,Illinois,17003-2002,15.4,43.2,IL,3462,3149,313,9.0,0,0
Alexander County,17003,Self-harm,Both,2003,14.8259426501973,Illinois,17003-2003,16.3,42.6,IL,3486,3116,370,10.6,0,0
Alexander County,17003,Self-harm,Both,2004,15.1507566128426,Illinois,17003-2004,15.8,41.6,IL,3393,3083,310,9.1,0,0
Alexander County,17003,Self-harm,Both,2005,15.2458859409945,Illinois,17003-2005,15.4,42.0,IL,3339,3053,286,8.6,0,0
Alexander County,17003,Self-harm,Both,2006,15.5827810859466,Illinois,17003-2006,16.0,40.3,IL,3297,3031,266,8.1,0,0
Alexander County,17003,Self-harm,Both,2007,15.7656701619657,Illinois,17003-2007,16.2,40.6,IL,3268,2996,272,8.3,0,0
Alexander County,17003,Self-harm,Both,2008,16.2784771741073,Illinois,17003-2008,16.8,42.3,IL,3106,2805,301,9.7,0,0
Alexander County,17003,Self-harm,Both,2009,16.4326038051091,Illinois,17003-2009,16.6,41.4,IL,2993,2623,370,12.4,0,0
Alexander County,17003,Self-harm,Both,2010,16.575573048797,Illinois,17003-2010,16.8,41.8,IL,2967,2615,352,11.9,0,0
Alexander County,17003,Self-harm,Both,2011,16.9742192742144,Illinois,17003-2011,16.6,42.2,IL,2889,2516,373,12.9,0,0
Alexander County,17003,Self-harm,Both,2012,17.291450926121,Illinois,17003-2012,16.0,42.3,IL,2748,2418,330,12.0,0,0
Bond County,17005,Self-harm,Both,2002,10.609984222736,Illinois,17005-2002,16.0,33.6,IL,8237,7788,449,5.5,0,0
Bond County,17005,Self-harm,Both,2003,10.5512687044444,Illinois,17005-2003,17.0,34.0,IL,8241,7735,506,6.1,0,0
Bond County,17005,Self-harm,Both,2004,10.7139125898875,Illinois,17005-2004,16.8,34.0,IL,8335,7834,501,6.0,0,0
Bond County,17005,Self-harm,Both,2005,10.7494037109689,Illinois,17005-2005,17.1,33.6,IL,8511,8056,455,5.3,0,0
Bond County,17005,Self-harm,Both,2006,10.900921679959,Illinois,17005-2006,17.5,34.1,IL,8636,8215,421,4.9,0,0
Bond County,17005,Self-harm,Both,2007,10.9546470268626,Illinois,17005-2007,18.5,34.9,IL,8736,8279,457,5.2,0,0
Bond County,17005,Self-harm,Both,2008,10.8353507016457,Illinois,17005-2008,18.7,35.3,IL,8767,8171,596,6.8,0,0
Bond County,17005,Self-harm,Both,2009,10.9383145582512,Illinois,17005-2009,18.9,35.1,IL,8540,7689,851,10.0,0,0
Bond County,17005,Self-harm,Both,2010,11.1765964528342,Illinois,17005-2010,19.5,36.5,IL,8525,7657,868,10.2,0,0
Bond County,17005,Self-harm,Both,2011,11.5241436282864,Illinois,17005-2011,21.0,38.4,IL,8488,7694,794,9.4,0,0
Bond County,17005,Self-harm,Both,2012,11.1337127463089,Illinois,17005-2012,20.6,39.1,IL,8242,7499,743,9.0,0,0
Boone County,17007,Self-harm,Both,2002,9.56261676781292,Illinois,17007-2002,20.6,33.6,IL,22316,20672,1644,7.4,0,7
Boone County,17007,Self-harm,Both,2003,9.62085463204659,Illinois,17007-2003,20.6,33.3,IL,22758,20944,1814,8.0,0,7
Boone County,17007,Self-harm,Both,2004,9.33634739343231,Illinois,17007-2004,19.9,32.8,IL,23628,21901,1727,7.3,0,7
Boone County,17007,Self-harm,Both,2005,9.58986538880032,Illinois,17007-2005,20.2,32.5,IL,24661,23041,1620,6.6,0,7
Boone County,17007,Self-harm,Both,2006,9.58970369624562,Illinois,17007-2006,20.3,32.4,IL,25728,24296,1432,5.6,0,7
Boone County,17007,Self-harm,Both,2007,9.71284619692811,Illinois,17007-2007,20.8,33.2,IL,26667,24893,1774,6.7,0,7
Boone County,17007,Self-harm,Both,2008,9.80673095142915,Illinois,17007-2008,20.7,32.9,IL,26732,24196,2536,9.5,0,7
Boone County,17007,Self-harm,Both,2009,9.87410971893946,Illinois,17007-2009,20.5,33.3,IL,26063,22006,4057,15.6,0,7
Boone County,17007,Self-harm,Both,2010,9.77145143935101,Illinois,17007-2010,20.8,34.1,IL,27346,23540,3806,13.9,0,7
Boone County,17007,Self-harm,Both,2011,10.0821210229708,Illinois,17007-2011,22.6,35.8,IL,27128,23924,3204,11.8,0,7
Boone County,17007,Self-harm,Both,2012,10.4998496703826,Illinois,17007-2012,22.0,35.8,IL,26721,23921,2800,10.5,0,7
