location_name,FIPS,cause_name,sex,year_id,mx,state,UID,alcohol_heavy,alcohol_prop_heavy,state_y,labor_force,employed,unemployed,unemployment_rate,KMeans_Small,KMeans_Big
Adams County,17001,Self-harm,Both,2005,11.8385647403767,Illinois,17001-2005,8.8,15.4,IL,37948,36546,1402,3.7,3,8
Adams County,17001,Self-harm,Both,2006,11.576910833225,Illinois,17001-2006,9.2,15.9,IL,39309,37973,1336,3.4,3,8
Adams County,17001,Self-harm,Both,2007,11.8869996295421,Illinois,17001-2007,9.5,16.4,IL,39455,37904,1551,3.9,3,8
Adams County,17001,Self-harm,Both,2008,12.7133493637098,Illinois,17001-2008,9.6,16.8,IL,38682,36794,1888,4.9,3,8
Adams County,17001,Self-harm,Both,2009,12.177581240509,Illinois,17001-2009,9.3,16.3,IL,38148,35339,2809,7.4,3,8
Adams County,17001,Self-harm,Both,2010,11.8709494770848,Illinois,17001-2010,9.5,16.6,IL,34827,32120,2707,7.8,3,1
Adams County,17001,Self-harm,Both,2011,12.4313561805483,Illinois,17001-2011,10.8,18.5,IL,34376,32000,2376,6.9,3,1
Adams County,17001,Self-harm,Both,2012,11.7632869528957,Illinois,17001-2012,10.2,17.9,IL,33731,31518,2213,6.6,3,1
Alexander County,17003,Self-harm,Both,2005,15.2458859409945,Illinois,17003-2005,6.0,16.3,IL,3339,3053,286,8.6,3,1
Alexander County,17003,Self-harm,Both,2006,15.5827810859466,Illinois,17003-2006,6.1,15.4,IL,3297,3031,266,8.1,3,1
Alexander County,17003,Self-harm,Both,2007,15.7656701619657,Illinois,17003-2007,6.2,15.5,IL,3268,2996,272,8.3,3,1
Alexander County,17003,Self-harm,Both,2008,16.2784771741073,Illinois,17003-2008,6.6,16.5,IL,3106,2805,301,9.7,3,1
Alexander County,17003,Self-harm,Both,2009,16.4326038051091,Illinois,17003-2009,6.2,15.4,IL,2993,2623,370,12.4,3,1
Alexander County,17003,Self-harm,Both,2010,16.575573048797,Illinois,17003-2010,6.2,15.4,IL,2967,2615,352,11.9,3,1
Alexander County,17003,Self-harm,Both,2011,16.9742192742144,Illinois,17003-2011,6.0,15.2,IL,2889,2516,373,12.9,3,1
Alexander County,17003,Self-harm,Both,2012,17.291450926121,Illinois,17003-2012,5.3,14.1,IL,2748,2418,330,12.0,3,1
Bond County,17005,Self-harm,Both,2005,10.7494037109689,Illinois,17005-2005,7.5,14.8,IL,8511,8056,455,5.3,3,1
Bond County,17005,Self-harm,Both,2006,10.900921679959,Illinois,17005-2006,7.6,14.9,IL,8636,8215,421,4.9,3,1
Bond County,17005,Self-harm,Both,2007,10.9546470268626,Illinois,17005-2007,8.3,15.6,IL,8736,8279,457,5.2,3,1
Bond County,17005,Self-harm,Both,2008,10.8353507016457,Illinois,17005-2008,8.4,15.8,IL,8767,8171,596,6.8,3,1
Bond County,17005,Self-harm,Both,2009,10.9383145582512,Illinois,17005-2009,8.4,15.6,IL,8540,7689,851,10.0,3,1
Bond County,17005,Self-harm,Both,2010,11.1765964528342,Illinois,17005-2010,8.8,16.4,IL,8525,7657,868,10.2,3,1
Bond County,17005,Self-harm,Both,2011,11.5241436282864,Illinois,17005-2011,10.1,18.4,IL,8488,7694,794,9.4,3,1
Bond County,17005,Self-harm,Both,2012,11.1337127463089,Illinois,17005-2012,9.4,17.8,IL,8242,7499,743,9.0,3,1
Boone County,17007,Self-harm,Both,2005,9.58986538880032,Illinois,17007-2005,8.2,13.2,IL,24661,23041,1620,6.6,3,1
Boone County,17007,Self-harm,Both,2006,9.58970369624562,Illinois,17007-2006,8.4,13.4,IL,25728,24296,1432,5.6,3,1
Boone County,17007,Self-harm,Both,2007,9.71284619692811,Illinois,17007-2007,8.8,14.0,IL,26667,24893,1774,6.7,3,1
Boone County,17007,Self-harm,Both,2008,9.80673095142915,Illinois,17007-2008,8.9,14.2,IL,26732,24196,2536,9.5,3,1
Boone County,17007,Self-harm,Both,2009,9.87410971893946,Illinois,17007-2009,8.8,14.3,IL,26063,22006,4057,15.6,3,1
Boone County,17007,Self-harm,Both,2010,9.77145143935101,Illinois,17007-2010,9.1,15.0,IL,27346,23540,3806,13.9,3,1
Boone County,17007,Self-harm,Both,2011,10.0821210229708,Illinois,17007-2011,10.6,16.8,IL,27128,23924,3204,11.8,3,1
Boone County,17007,Self-harm,Both,2012,10.4998496703826,Illinois,17007-2012,9.9,16.1,IL,26721,23921,2800,10.5,3,1
Brown County,17009,Self-harm,Both,2005,11.6876150424331,Illinois,17009-2005,7.6,14.9,IL,3328,3204,124,3.7,3,1
Brown County,17009,Self-harm,Both,2006,11.6738645661043,Illinois,17009-2006,8.2,15.3,IL,3371,3270,101,3.0,3,1
Brown County,17009,Self-harm,Both,2007,11.9290240882021,Illinois,17009-2007,9.6,17.3,IL,3463,3367,96,2.8,3,1
Brown County,17009,Self-harm,Both,2008,11.738783042516,Illinois,17009-2008,10.2,18.0,IL,3530,3394,136,3.9,3,1
Brown County,17009,Self-harm,Both,2009,11.9192603611416,Illinois,17009-2009,9.8,17.0,IL,3454,3297,157,4.5,3,1
Brown County,17009,Self-harm,Both,2010,11.8258578348911,Illinois,17009-2010,9.4,16.3,IL,2581,2400,181,7.0,3,1
Brown County,17009,Self-harm,Both,2011,11.7916475690891,Illinois,17009-2011,10.7,18.0,IL,2589,2428,161,6.2,3,1
Brown County,17009,Self-harm,Both,2012,11.8159287708484,Illinois,17009-2012,10.1,17.8,IL,2617,2460,157,6.0,3,1
